episode,max_tile,score,avg_max_log_500,rate_2048_500,rate_4096_500,eps_per_sec
23600,2048,36124,10.812,0.7060,0.1700,77.8
23800,4096,58744,10.848,0.7240,0.1740,77.3
24000,1024,12140,10.834,0.7200,0.1780,77.1
24200,2048,36928,10.840,0.7260,0.1680,76.9
24400,4096,48076,10.826,0.7200,0.1600,76.7
24600,1024,20172,10.838,0.7240,0.1620,76.5
24800,4096,52248,10.840,0.7180,0.1740,76.3
25000,1024,20276,10.868,0.7360,0.1780,76.1
25200,2048,23596,10.890,0.7460,0.1820,75.7
25400,1024,22132,10.894,0.7440,0.1820,75.5
25600,2048,36940,10.934,0.7620,0.1980,75.1
25800,4096,72424,10.906,0.7520,0.1940,75.0
26000,2048,34444,10.880,0.7460,0.2040,74.7
26200,2048,34608,10.854,0.7220,0.2060,74.4
26400,4096,58276,10.894,0.7140,0.2400,74.2
26600,2048,36900,10.968,0.7540,0.2560,73.9
26800,1024,21076,10.960,0.7680,0.2300,73.8
27000,512,6752,10.942,0.7720,0.2180,73.5
27200,2048,45656,10.916,0.7460,0.2240,73.3
27400,2048,41132,10.952,0.7540,0.2440,73.1
27600,1024,16892,10.904,0.7360,0.2100,72.9
27800,2048,40788,10.922,0.7520,0.2200,72.7
28000,2048,42408,10.928,0.7500,0.2240,72.5
28200,4096,62368,10.950,0.7520,0.2460,72.4
28400,1024,20020,10.878,0.7260,0.2120,72.2
28600,2048,45344,10.902,0.7340,0.2160,72.0
28800,2048,33868,10.940,0.7440,0.2420,71.8
29000,4096,52684,10.924,0.7300,0.2400,71.8
29200,2048,27532,10.922,0.7280,0.2460,71.7
29400,4096,77624,10.922,0.7500,0.2320,71.4
29600,2048,43232,10.968,0.7760,0.2480,71.2
29800,1024,16412,10.978,0.7820,0.2420,71.0
30000,4096,56164,11.002,0.7820,0.2520,70.9
30200,4096,60624,11.028,0.7860,0.2800,70.7
30400,1024,15408,11.070,0.8000,0.2900,70.4
30600,1024,18028,11.064,0.7940,0.2920,70.2
30800,2048,37196,11.010,0.7660,0.2760,70.1
31000,4096,84352,10.990,0.7560,0.2780,69.9
31200,2048,45056,10.964,0.7560,0.2680,69.8
31400,1024,20892,10.932,0.7360,0.2620,69.6
31600,2048,31836,10.956,0.7520,0.2620,69.3
31800,2048,45016,11.030,0.7980,0.2640,69.1
32000,4096,63548,11.080,0.8220,0.2860,68.9
32200,2048,47164,11.126,0.8160,0.3300,68.7
32400,4096,59948,11.074,0.7900,0.3240,68.5
32600,2048,34528,11.084,0.7900,0.3300,68.3
32800,2048,33456,11.058,0.7800,0.3120,68.2
33000,1024,16456,11.054,0.7820,0.3040,68.1
33200,4096,57160,11.054,0.7880,0.3000,68.0
33400,4096,57212,11.084,0.7980,0.3140,67.8
33600,2048,34644,11.102,0.7940,0.3380,67.7
33800,8192,104396,11.112,0.8120,0.3240,67.6
34000,4096,66628,11.078,0.8000,0.3040,67.5
34200,4096,59404,11.096,0.8060,0.3200,67.4
34400,2048,39872,11.066,0.7920,0.3000,67.2
34600,4096,80288,11.072,0.7800,0.3240,67.0
34800,4096,61664,11.126,0.7960,0.3600,66.8
35000,2048,25440,11.134,0.7920,0.3760,66.6
35200,2048,30136,11.100,0.7980,0.3380,66.5
35400,1024,16908,11.058,0.7820,0.3200,66.3
35600,4096,69748,11.118,0.8040,0.3600,66.1
35800,4096,63848,11.114,0.7880,0.3640,65.9
36000,4096,70156,11.142,0.8000,0.3720,65.7
36200,4096,81352,11.136,0.8100,0.3620,65.5
36400,4096,68272,11.184,0.8460,0.3840,65.4
36600,2048,28308,11.192,0.8360,0.4000,65.2
36800,2048,34820,11.178,0.8300,0.3780,65.1
37000,2048,46120,11.166,0.8080,0.3860,64.9
37200,4096,62180,11.178,0.8060,0.3980,64.7
37400,2048,45328,11.186,0.8060,0.4100,64.5
37600,4096,52260,11.178,0.8280,0.3820,64.4
37800,8192,113436,11.190,0.8280,0.3900,64.1
38000,4096,51648,11.180,0.8140,0.4020,64.0
38200,4096,65680,11.162,0.8000,0.4000,63.9
38400,2048,25612,11.186,0.8180,0.4080,63.7
38600,4096,62056,11.192,0.8340,0.4020,63.6
38800,2048,30456,11.218,0.8220,0.4260,63.5
39000,2048,46168,11.168,0.8060,0.4000,63.4
39200,4096,72140,11.164,0.8100,0.3880,63.2
39400,2048,40436,11.172,0.8060,0.3800,63.1
39600,1024,17340,11.146,0.7980,0.3680,62.9
39800,2048,40524,11.110,0.7980,0.3380,62.8
40000,4096,56852,11.124,0.8020,0.3460,62.6
40200,4096,73360,11.134,0.7900,0.3780,62.4
40400,512,8116,11.146,0.7920,0.3940,62.2
40600,1024,20184,11.142,0.7900,0.3900,62.1
40800,1024,20364,11.116,0.7940,0.3620,62.0
41000,2048,37572,11.166,0.8020,0.3860,61.9
41200,1024,20252,11.196,0.8140,0.3960,61.7
41400,2048,28188,11.158,0.8060,0.3720,61.6
41600,4096,69880,11.166,0.7920,0.4040,61.4
41800,2048,27700,11.162,0.7960,0.4020,61.3
42000,4096,59684,11.174,0.8020,0.4080,61.1
42200,4096,65452,11.190,0.8080,0.4100,61.0
42400,2048,40184,11.252,0.8260,0.4460,60.8
42600,2048,29488,11.282,0.8360,0.4700,60.6
42800,4096,71924,11.240,0.8200,0.4500,60.5
43000,2048,36432,11.238,0.8280,0.4300,60.4
43200,4096,51796,11.212,0.8240,0.4080,60.2
43400,1024,14944,11.210,0.8240,0.4080,60.1
43600,2048,43624,11.242,0.8220,0.4300,60.0
43800,4096,75020,11.246,0.8120,0.4460,59.9
44000,2048,36160,11.256,0.8260,0.4400,59.8
44200,2048,36812,11.270,0.8420,0.4360,59.7
44400,8192,136280,11.312,0.8500,0.4600,59.6
44600,2048,23760,11.304,0.8460,0.4620,59.5
44800,8192,123320,11.258,0.8220,0.4460,59.4
45000,4096,85368,11.278,0.8360,0.4540,59.3
45200,4096,59676,11.268,0.8380,0.4440,59.2
45400,4096,78464,11.242,0.8260,0.4180,59.0
45600,4096,60612,11.270,0.8380,0.4280,58.7
45800,4096,51056,11.280,0.8420,0.4340,58.6
46000,4096,51508,11.292,0.8360,0.4600,58.5
46200,1024,20992,11.228,0.8120,0.4380,58.4
46400,2048,27900,11.240,0.8060,0.4540,58.3
46600,4096,69872,11.292,0.8300,0.4820,58.2
46800,2048,45248,11.232,0.8080,0.4560,58.1
47000,2048,35772,11.220,0.8060,0.4400,58.0
47200,4096,76772,11.280,0.8400,0.4640,57.9
47400,2048,41816,11.304,0.8540,0.4680,57.8
47600,4096,53200,11.318,0.8560,0.4820,57.8
47800,1024,16180,11.330,0.8560,0.4920,57.7
48000,2048,37928,11.278,0.8360,0.4720,57.6
48200,2048,27060,11.308,0.8520,0.4680,57.5
48400,2048,34640,11.320,0.8580,0.4780,57.4
48600,4096,80360,11.322,0.8500,0.4820,57.4
48800,4096,58332,11.292,0.8360,0.4660,57.3
49000,2048,34940,11.268,0.8100,0.4600,57.3
49200,4096,92544,11.330,0.8480,0.4900,57.2
49400,2048,45080,11.340,0.8420,0.4980,57.1
49600,4096,79368,11.290,0.8240,0.4840,57.1
49800,4096,80560,11.304,0.8300,0.4880,57.0
50000,2048,39444,11.368,0.8500,0.5140,56.9
50200,4096,81412,11.312,0.8400,0.4900,56.6
50400,4096,83528,11.340,0.8420,0.5160,56.5
50600,2048,37488,11.366,0.8380,0.5400,56.5
50800,4096,77232,11.366,0.8360,0.5440,56.4
51000,2048,41088,11.268,0.8060,0.4940,56.3
51200,2048,47384,11.246,0.7980,0.4900,56.2
51400,2048,36252,11.314,0.8300,0.5040,56.2
51600,2048,36624,11.356,0.8660,0.5040,56.1
51800,4096,52248,11.336,0.8520,0.5000,56.1
52000,4096,58296,11.328,0.8300,0.5120,56.0
52200,2048,37884,11.306,0.8200,0.4980,56.0
52400,2048,32080,11.352,0.8400,0.5100,55.9
52600,2048,44640,11.372,0.8460,0.5180,55.9
52800,2048,36672,11.362,0.8400,0.5080,55.8
53000,4096,64408,11.382,0.8360,0.5420,55.8
53200,4096,90408,11.360,0.8140,0.5420,55.7
53400,2048,36020,11.398,0.8320,0.5540,55.6
53600,4096,73620,11.432,0.8580,0.5560,55.6
53800,2048,43680,11.414,0.8620,0.5400,55.5
54000,1024,19916,11.434,0.8620,0.5560,55.4
54200,2048,37388,11.374,0.8520,0.5120,55.4
54400,4096,56740,11.362,0.8520,0.5160,55.3
54600,4096,73184,11.374,0.8660,0.5160,55.2
54800,2048,36260,11.352,0.8520,0.5100,55.2
55000,4096,61852,11.408,0.8640,0.5440,55.1
55200,1024,21512,11.428,0.8720,0.5480,55.1
55400,4096,63672,11.376,0.8560,0.5300,55.0
55600,8192,122436,11.368,0.8440,0.5340,55.0
55800,2048,37976,11.412,0.8460,0.5560,54.9
56000,4096,71440,11.460,0.8680,0.5720,54.8
56200,4096,68872,11.438,0.8680,0.5560,54.8
56400,2048,34468,11.366,0.8500,0.5180,54.7
56600,2048,22748,11.374,0.8600,0.5320,54.7
56800,4096,71724,11.426,0.8800,0.5660,54.6
57000,1024,16136,11.446,0.8800,0.5780,54.6
57200,4096,59632,11.440,0.8800,0.5540,54.5
57400,1024,21648,11.466,0.8940,0.5560,54.5
57600,4096,78152,11.486,0.8960,0.5720,54.4
57800,4096,51328,11.478,0.8980,0.5600,54.4
58000,2048,30712,11.468,0.8840,0.5800,54.3
58200,2048,37044,11.450,0.8740,0.5800,54.2
58400,2048,32944,11.404,0.8520,0.5600,54.2
58600,4096,70440,11.388,0.8500,0.5460,54.1
58800,4096,47032,11.420,0.8620,0.5700,54.0
59000,2048,29308,11.450,0.8700,0.5880,54.0
59200,4096,57592,11.448,0.8660,0.5860,53.9
59400,1024,20780,11.408,0.8460,0.5740,53.9
59600,4096,91320,11.424,0.8380,0.5740,53.8
59800,4096,60240,11.432,0.8520,0.5600,53.7
60000,1024,11156,11.430,0.8620,0.5540,53.7
60200,512,9636,11.416,0.8660,0.5520,53.6
60400,4096,78816,11.440,0.8760,0.5620,53.5
60600,4096,52636,11.436,0.8560,0.5740,53.5
60800,4096,71296,11.428,0.8540,0.5640,53.5
61000,4096,61340,11.394,0.8520,0.5540,53.4
61200,2048,46416,11.394,0.8600,0.5580,53.4
61400,2048,35464,11.398,0.8540,0.5620,53.3
61600,4096,60976,11.420,0.8620,0.5780,53.3
61800,1024,16704,11.442,0.8700,0.5700,53.2
62000,4096,87836,11.478,0.8680,0.6080,53.2
62200,4096,71092,11.440,0.8600,0.5840,53.1
62400,4096,65332,11.460,0.8620,0.5840,53.0
62600,2048,39972,11.450,0.8560,0.5880,53.0
62800,4096,78420,11.458,0.8500,0.5940,52.9
63000,1024,12808,11.464,0.8660,0.5860,52.9
63200,2048,30796,11.490,0.8840,0.6080,52.8
63400,2048,47452,11.462,0.8700,0.5860,52.8
63600,1024,15632,11.416,0.8400,0.5760,52.7
63800,2048,32796,11.452,0.8560,0.5940,52.7
64000,2048,36676,11.464,0.8460,0.6040,52.6
64200,4096,51072,11.456,0.8500,0.5960,52.6
64400,2048,45224,11.450,0.8560,0.6000,52.5
64600,2048,29836,11.472,0.8740,0.5980,52.5
64800,2048,44156,11.454,0.8580,0.6020,52.4
65000,2048,29464,11.436,0.8480,0.5820,52.4
65200,4096,85656,11.460,0.8640,0.5820,52.3
65400,2048,27292,11.518,0.8760,0.6180,52.3
65600,4096,60112,11.520,0.8940,0.5960,52.2
65800,1024,17056,11.494,0.8880,0.5820,52.2
66000,2048,47912,11.494,0.8800,0.5940,52.1
66200,1024,17980,11.486,0.8740,0.5880,52.1
66400,1024,16820,11.444,0.8820,0.5620,52.0
66600,512,8252,11.454,0.8780,0.5720,52.0
66800,2048,38592,11.464,0.8840,0.5740,51.9
67000,4096,67052,11.478,0.8840,0.5920,51.9
67200,4096,80320,11.492,0.8840,0.6080,51.8
67400,2048,37820,11.498,0.8780,0.6040,51.7
67600,4096,71312,11.512,0.8920,0.6020,51.7
67800,4096,76284,11.478,0.8740,0.5920,51.6
68000,2048,26448,11.450,0.8540,0.5940,51.5
68200,1024,21792,11.526,0.8680,0.6320,51.5
68400,4096,98780,11.548,0.8840,0.6240,51.4
68600,4096,59456,11.500,0.8820,0.6120,51.4
68800,8192,114292,11.480,0.8680,0.6020,51.3
69000,4096,89700,11.524,0.8860,0.6240,51.3
69200,4096,71212,11.518,0.8840,0.6200,51.2
69400,4096,48032,11.476,0.8700,0.6060,51.2
69600,2048,23992,11.450,0.8540,0.5860,51.2
69800,1024,14528,11.434,0.8480,0.5760,51.1
70000,2048,31444,11.462,0.8620,0.5780,51.1
70200,4096,80156,11.444,0.8580,0.5720,51.0
70400,8192,106284,11.482,0.8620,0.6020,51.0
70600,4096,82064,11.480,0.8560,0.6020,51.0
70800,1024,19128,11.552,0.8840,0.6380,50.9
71000,4096,77476,11.568,0.8900,0.6380,50.9
71200,2048,43324,11.574,0.8980,0.6460,50.8
71400,512,9424,11.572,0.9040,0.6380,50.8
71600,8192,142112,11.522,0.8900,0.6100,50.7
71800,2048,44668,11.496,0.8700,0.5940,50.7
72000,4096,72832,11.546,0.8720,0.6340,50.6
72200,4096,60388,11.550,0.8740,0.6320,50.6
72400,4096,83664,11.556,0.8680,0.6380,50.5
72600,4096,79664,11.572,0.8800,0.6600,50.5
72800,4096,74244,11.550,0.8740,0.6500,50.4
73000,4096,67916,11.516,0.8720,0.6300,50.4
73200,1024,20804,11.500,0.8760,0.6080,50.3
73400,1024,21508,11.498,0.8720,0.6040,50.2
73600,8192,132832,11.542,0.8800,0.6220,50.2
73800,1024,20800,11.534,0.8720,0.6280,50.1
74000,4096,71336,11.544,0.8820,0.6260,50.0
74200,2048,33364,11.516,0.8880,0.6040,50.0
74400,1024,21468,11.500,0.8860,0.5960,50.0
74600,2048,46548,11.570,0.8920,0.6300,49.9
74800,4096,54628,11.566,0.8880,0.6240,49.8
75000,4096,80764,11.550,0.8760,0.6240,49.8
75200,4096,66232,11.538,0.8720,0.6300,49.8
75400,2048,44952,11.558,0.8820,0.6440,49.7
75600,4096,58664,11.540,0.8820,0.6260,49.7
75800,2048,36136,11.512,0.8800,0.6120,49.7
76000,4096,60656,11.530,0.8760,0.6160,49.6
76200,4096,82168,11.512,0.8740,0.6100,49.6
76400,2048,34452,11.514,0.8840,0.6160,49.5
76600,1024,16136,11.478,0.8660,0.5940,49.5
76800,4096,102248,11.546,0.8740,0.6380,49.5
77000,4096,55832,11.564,0.8660,0.6640,49.4
77200,4096,73004,11.572,0.8800,0.6680,49.4
77400,1024,13960,11.608,0.9020,0.6720,49.4
77600,4096,87344,11.620,0.9140,0.6720,49.3
77800,4096,71576,11.576,0.8980,0.6600,49.3
78000,4096,73928,11.584,0.9020,0.6560,49.2
78200,1024,20476,11.574,0.8980,0.6440,49.2
78400,4096,81624,11.586,0.9000,0.6360,49.1
78600,2048,37216,11.638,0.9060,0.6660,49.1
78800,4096,72116,11.674,0.9220,0.6800,49.0
79000,4096,70584,11.622,0.9100,0.6580,49.0
79200,4096,90580,11.592,0.8980,0.6460,49.0
79400,4096,61820,11.566,0.8800,0.6480,48.9
79600,4096,65700,11.556,0.8800,0.6300,48.9
79800,4096,61180,11.604,0.8920,0.6540,48.8
80000,4096,57044,11.598,0.8960,0.6580,48.8
80200,2048,31524,11.590,0.8820,0.6600,48.7
80400,4096,76664,11.650,0.8920,0.7000,48.7
80600,2048,34664,11.648,0.9040,0.6940,48.6
80800,2048,26716,11.656,0.9040,0.7060,48.6
81000,8192,127936,11.640,0.9060,0.6820,48.6
81200,2048,32852,11.588,0.9040,0.6480,48.5
81400,4096,84500,11.602,0.9160,0.6420,48.5
81600,4096,67032,11.592,0.9000,0.6420,48.5
81800,8192,111168,11.584,0.8860,0.6360,48.4
82000,2048,36476,11.602,0.8900,0.6600,48.4
82200,4096,72268,11.646,0.9020,0.6880,48.3
82400,1024,16528,11.610,0.8800,0.6860,48.3
82600,4096,87172,11.606,0.8680,0.6740,48.3
82800,1024,16756,11.648,0.8840,0.6940,48.2
